selector,model,n_features,training_accuracy_score,training_f1_score,training_precision_score,training_recall_score,test_accuracy_score,test_f1_score_average_weighted,test_precision_score_average_weighted,test_recall_score_average_weighted
PEARSON,MultinomialNB,200,0.7436103,0.7799742,0.8554948,0.7436103,0.9654551,0.9484862,0.9321035,0.9654551
PEARSON,MultinomialNB,150,0.7420859,0.7787896,0.8551521,0.7420859,0.9654551,0.9484862,0.9321035,0.9654551
PEARSON,MultinomialNB,100,0.7397866,0.7768186,0.8532220,0.7397866,0.9654551,0.9484862,0.9321035,0.9654551
PEARSON,MultinomialNB,75,0.7546113,0.7875714,0.8518251,0.7546113,0.9654551,0.9484862,0.9321035,0.9654551
PEARSON,MultinomialNB,50,0.7306529,0.7690934,0.8463251,0.7306529,0.9654551,0.9484862,0.9321035,0.9654551
PEARSON,MultinomialNB,10,0.8708460,0.8159853,0.8705196,0.8708460,0.9654756,0.9485775,0.9551710,0.9654756
PEARSON,MultinomialNB,5,0.8666540,0.8047438,0.7510891,0.8666540,0.9654551,0.9484862,0.9321035,0.9654551
PEARSON,XGBoost,399,,,,,0.9679752,0.9554109,0.9636866,0.9679752
PEARSON,XGBoost,300,,,,,0.9681392,0.9552397,0.9662172,0.9681392
PEARSON,XGBoost,200,,,,,0.9680982,0.9553681,0.9651344,0.9680982
PEARSON,XGBoost,150,,,,,0.9682006,0.9554345,0.9660349,0.9682006
PEARSON,XGBoost,100,,,,,0.9681801,0.9561721,0.9632125,0.9681801
PEARSON,XGBoost,75,,,,,0.9682006,0.9560091,0.9638472,0.9682006
PEARSON,XGBoost,50,,,,,0.9665410,0.9522223,0.9589231,0.9665410
PEARSON,XGBoost,10,,,,,0.9654551,0.9484862,0.9321035,0.9654551
PEARSON,XGBoost,5,,,,,0.9654551,0.9484862,0.9321035,0.9654551
PEARSON,GradientBoostingClassifier,399,0.9030869,0.8909705,0.8930025,0.9030869,0.9681801,0.9559362,0.9638903,0.9681801
PEARSON,GradientBoostingClassifier,300,0.9042302,0.8930192,0.8944372,0.9042302,0.9683236,0.9563259,0.9639596,0.9683236
PEARSON,GradientBoostingClassifier,200,0.9042048,0.8930704,0.8943962,0.9042048,0.9684465,0.9564079,0.9647766,0.9684465
PEARSON,GradientBoostingClassifier,150,0.9047383,0.8936923,0.8951018,0.9047383,0.9683031,0.9564575,0.9634336,0.9683031
PEARSON,GradientBoostingClassifier,100,0.9032901,0.8916109,0.8932175,0.9032901,0.9679343,0.9553843,0.9633824,0.9679343
PEARSON,GradientBoostingClassifier,75,0.9038999,0.8927766,0.8939883,0.9038999,0.9682621,0.9566021,0.9627865,0.9682621
PEARSON,GradientBoostingClassifier,50,0.8994284,0.8858727,0.8881053,0.8994284,0.9667459,0.9529202,0.9591129,0.9667459
PEARSON,GradientBoostingClassifier,10,0.8798908,0.8564379,0.8582325,0.8798908,0.9654756,0.9485370,0.9666675,0.9654756
PEARSON,GradientBoostingClassifier,5,0.8782520,0.8535041,0.8552570,0.8782520,0.9654551,0.9484862,0.9321035,0.9654551
SPEARMAN,RandomForestClassifier,399,0.9933054,0.9933053,0.9933051,0.9933054,0.9655165,0.9551325,0.9532578,0.9655165
SPEARMAN,RandomForestClassifier,300,0.9928735,0.9928722,0.9928709,0.9928735,0.9654756,0.9559718,0.9538016,0.9654756
SPEARMAN,RandomForestClassifier,200,0.9919715,0.9919673,0.9919636,0.9919715,0.9657009,0.9562714,0.9543233,0.9657009
SPEARMAN,RandomForestClassifier,150,0.9919842,0.9919773,0.9919716,0.9919842,0.9656190,0.9563134,0.9542424,0.9656190
SPEARMAN,RandomForestClassifier,100,0.9911712,0.9911560,0.9911458,0.9911712,0.9654960,0.9566352,0.9543389,0.9654960
SPEARMAN,RandomForestClassifier,75,0.9893166,0.9892881,0.9892714,0.9893166,0.9658239,0.9565978,0.9547153,0.9658239
SPEARMAN,RandomForestClassifier,50,0.9817835,0.9817048,0.9816559,0.9817835,0.9626685,0.9561299,0.9524816,0.9626685
SPEARMAN,RandomForestClassifier,10,0.9263974,0.9234180,0.9223813,0.9263974,0.9618080,0.9513626,0.9455649,0.9618080
SPEARMAN,RandomForestClassifier,5,0.8783028,0.8535881,0.8553501,0.8783028,0.9653936,0.9484555,0.9321014,0.9653936
SPEARMAN,SVC,399,0.8876905,0.8696918,0.8711153,0.8876905,0.9654551,0.9484862,0.9321035,0.9654551
SPEARMAN,SVC,300,0.8877287,0.8702206,0.8712061,0.8877287,0.9654551,0.9484862,0.9321035,0.9654551
SPEARMAN,SVC,200,0.8666540,0.8047438,0.7510891,0.8666540,0.9654551,0.9484862,0.9321035,0.9654551
SPEARMAN,SVC,150,0.8701601,0.8142797,0.8690104,0.8701601,0.9654551,0.9484862,0.9321035,0.9654551
SPEARMAN,SVC,100,0.8666540,0.8047438,0.7510891,0.8666540,0.9654551,0.9484862,0.9321035,0.9654551
SPEARMAN,SVC,75,0.8848450,0.8683432,0.8672707,0.8848450,0.9654551,0.9484862,0.9321035,0.9654551
SPEARMAN,SVC,50,0.8846164,0.8682227,0.8669897,0.8846164,0.9654551,0.9484862,0.9321035,0.9654551
SPEARMAN,SVC,10,0.8783537,0.8599822,0.8574139,0.8783537,0.9654551,0.9484862,0.9321035,0.9654551
SPEARMAN,SVC,5,0.8770579,0.8571999,0.8548370,0.8770579,0.9654551,0.9484862,0.9321035,0.9654551
SPEARMAN,GaussianNB,399,0.4342861,0.4942338,0.8643176,0.4342861,0.5219440,0.6557564,0.9453766,0.5219440
SPEARMAN,GaussianNB,300,0.4461636,0.5073092,0.8668806,0.4461636,0.4922755,0.6291157,0.9453630,0.4922755
SPEARMAN,GaussianNB,200,0.4605945,0.5230530,0.8690197,0.4605945,0.4821538,0.6202466,0.9427604,0.4821538
SPEARMAN,GaussianNB,150,0.4609629,0.5233556,0.8696624,0.4609629,0.5012294,0.6382095,0.9400160,0.5012294
SPEARMAN,GaussianNB,100,0.5023501,0.5690413,0.8590768,0.5023501,0.7210179,0.8094953,0.9385354,0.7210179
SPEARMAN,GaussianNB,75,0.4456047,0.5079171,0.8596130,0.4456047,0.6625825,0.7687012,0.9394711,0.6625825
SPEARMAN,GaussianNB,50,0.3539126,0.3960463,0.8609412,0.3539126,0.5540098,0.6838844,0.9414889,0.5540098
SPEARMAN,GaussianNB,10,0.7942835,0.8108503,0.8342304,0.7942835,0.9653936,0.9484960,0.9390288,0.9653936
SPEARMAN,GaussianNB,5,0.7859375,0.8049928,0.8327008,0.7859375,0.9654551,0.9484862,0.9321035,0.9654551
SPEARMAN,MultinomialNB,399,0.7437754,0.7801595,0.8559668,0.7437754,0.9654551,0.9484862,0.9321035,0.9654551
SPEARMAN,MultinomialNB,300,0.7424416,0.7791410,0.8558098,0.7424416,0.9654551,0.9484862,0.9321035,0.9654551
SPEARMAN,MultinomialNB,200,0.7411204,0.7780060,0.8546797,0.7411204,0.9654551,0.9484862,0.9321035,0.9654551
SPEARMAN,MultinomialNB,150,0.7413872,0.7782316,0.8548802,0.7413872,0.9654551,0.9484862,0.9321035,0.9654551
SPEARMAN,MultinomialNB,100,0.7384527,0.7757779,0.8528859,0.7384527,0.9654551,0.9484862,0.9321035,0.9654551
SPEARMAN,MultinomialNB,75,0.7399517,0.7764937,0.8499234,0.7399517,0.9654551,0.9484862,0.9321035,0.9654551
SPEARMAN,MultinomialNB,50,0.7370935,0.7739534,0.8469299,0.7370935,0.9654551,0.9484862,0.9321035,0.9654551
SPEARMAN,MultinomialNB,10,0.8666540,0.8047438,0.7510891,0.8666540,0.9654551,0.9484862,0.9321035,0.9654551
SPEARMAN,MultinomialNB,5,0.8666540,0.8047438,0.7510891,0.8666540,0.9654551,0.9484862,0.9321035,0.9654551
SPEARMAN,XGBoost,399,,,,,0.9679957,0.9552093,0.9646483,0.9679957
SPEARMAN,XGBoost,300,,,,,0.9681392,0.9553638,0.9656263,0.9681392
SPEARMAN,XGBoost,200,,,,,0.9680982,0.9555821,0.9643004,0.9680982
SPEARMAN,XGBoost,150,,,,,0.9680572,0.9564929,0.9616506,0.9680572
SPEARMAN,XGBoost,100,,,,,0.9682211,0.9565461,0.9626233,0.9682211
SPEARMAN,XGBoost,75,,,,,0.9681597,0.9575725,0.9607553,0.9681597
SPEARMAN,XGBoost,50,,,,,0.9680162,0.9568008,0.9609416,0.9680162
SPEARMAN,XGBoost,10,,,,,0.9662951,0.9508683,0.9623288,0.9662951
SPEARMAN,XGBoost,5,,,,,0.9654551,0.9484862,0.9321035,0.9654551
SPEARMAN,GradientBoostingClassifier,399,0.9035061,0.8918699,0.8935060,0.9035061,0.9682211,0.9560522,0.9638956,0.9682211
SPEARMAN,GradientBoostingClassifier,300,0.9036712,0.8923814,0.8936943,0.9036712,0.9682621,0.9561972,0.9638162,0.9682621
SPEARMAN,GradientBoostingClassifier,200,0.9038491,0.8925934,0.8939300,0.9038491,0.9683031,0.9562244,0.9640865,0.9683031
SPEARMAN,GradientBoostingClassifier,150,0.9026931,0.8908216,0.8924264,0.9026931,0.9682211,0.9560522,0.9638956,0.9682211
SPEARMAN,GradientBoostingClassifier,100,0.9073171,0.8975517,0.8984043,0.9073171,0.9679752,0.9562386,0.9615900,0.9679752
SPEARMAN,GradientBoostingClassifier,75,0.9059070,0.8954729,0.8966006,0.9059070,0.9684670,0.9575450,0.9623010,0.9684670
SPEARMAN,GradientBoostingClassifier,50,0.9032520,0.8907270,0.8933207,0.9032520,0.9681597,0.9571448,0.9612374,0.9681597
SPEARMAN,GradientBoostingClassifier,10,0.8911331,0.8753527,0.8763228,0.8911331,0.9663976,0.9512555,0.9615307,0.9663976
SPEARMAN,GradientBoostingClassifier,5,0.8782520,0.8535041,0.8552570,0.8782520,0.9654551,0.9484862,0.9321035,0.9654551
